,title,link,year,rating,runtime_mins,genres,votes,metascore,gross,synopsis
0,The Shawshank Redemption,https://www.imdb.com//title/tt0111161/,1994,9.3,142,['Drama'],2409175,80,$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
1,The Godfather,https://www.imdb.com//title/tt0068646/,1972,9.2,175,"['Crime', 'Drama']",1667081,100,$134.97M,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
2,Soorarai Pottru,https://www.imdb.com//title/tt10189514/,2020,9.1,153,['Drama'],83391,,,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
3,The Dark Knight,https://www.imdb.com//title/tt0468569/,2008,9,152,"['Action', 'Crime', 'Drama']",2368159,84,$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,The Godfather: Part II,https://www.imdb.com//title/tt0071562/,1974,9,202,"['Crime', 'Drama']",1158268,90,$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
5,12 Angry Men,https://www.imdb.com//title/tt0050083/,1957,9,96,"['Crime', 'Drama']",709997,96,$4.36M,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6,The Lord of the Rings: The Return of the King,https://www.imdb.com//title/tt0167260/,2003,8.9,201,"['Action', 'Adventure', 'Drama']",1679188,94,$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,Pulp Fiction,https://www.imdb.com//title/tt0110912/,1994,8.9,154,"['Crime', 'Drama']",1870890,94,$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,Schindler's List,https://www.imdb.com//title/tt0108052/,1993,8.9,195,"['Biography', 'Drama', 'History']",1241604,94,$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
9,Inception,https://www.imdb.com//title/tt1375666/,2010,8.8,148,"['Action', 'Adventure', 'Sci-Fi']",2125443,74,$292.58M,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
10,Fight Club,https://www.imdb.com//title/tt0137523/,1999,8.8,139,['Drama'],1901332,66,$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
11,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com//title/tt0120737/,2001,8.8,178,"['Action', 'Adventure', 'Drama']",1700167,92,$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
12,Forrest Gump,https://www.imdb.com//title/tt0109830/,1994,8.8,142,"['Drama', 'Romance']",1861343,82,$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
